330382375,5846278,2.20E+03
330382394,5846205,2.60E+03
330382410,5846147,3.40E+03
330382424,5846089,8.20E+03
330382439,5846032,5.80E+03
330382450,5845971,8.70E+03
330382464,5845913,8.70E+03
330382477,5845856,8.00E+02
330382491,5845799,9.70E+03
330382505,5845742,1.70E+03
330382517,5845686,4.00E+03
330382532,5845625,7.60E+03
330382545,5845564,6.20E+03
330382560,5845510,9.80E+03
330382574,5845453,1.50E+03
330382587,5845399,7.20E+03
330382603,5845341,3.90E+03
330382618,5845289,8.20E+03
330382641,5845231,9.50E+03
330382661,5845175,5.10E+03
330382682,5845120,4.50E+03
330382703,5845064,9.90E+03
330382715,5845008,6.50E+03
330382727,5844944,4.50E+03
330382728,5844887,1.40E+03
330382709,5844844,5.00E+03
330382669,5844828,1.30E+03
330382627,5844836,3.50E+03
330382602,5844876,3.30E+03
330382588,5844924,8.40E+03
330382585,5844973,2.90E+03
330382585,5845023,6.20E+03
330382579,5845075,9.90E+03
330382540,5845149,8.70E+03
330382492,5845235,4.80E+03
330382484,5845282,7.50E+03
330382484,5845318,6.00E+03
330382475,5845368,6.80E+03
330382463,5845420,1.40E+03
330382450,5845469,5.00E+03
330382437,5845529,2.30E+03
330382423,5845585,8.40E+03
330382410,5845646,7.50E+03
330382395,5845706,8.90E+03
330382378,5845765,2.90E+03
330382364,5845821,9.60E+03
330382348,5845878,9.50E+03
330382335,5845934,9.40E+03
330382320,5845985,4.00E+03
330382305,5846042,0.00E+00
330382298,5846116,8.90E+03
330382281,5846158,3.90E+03
330382263,5846197,3.40E+03
330382247,5846244,3.90E+03
330382225,5846273,2.30E+03
330382204,5846310,4.60E+03
330382211,5846447,5.40E+03
330382198,5846522,7.40E+03
330382186,5846590,2.80E+03
330382185,5846689,4.30E+03
330382168,5846741,1.60E+03
330382158,5846792,4.80E+03
330382135,5846813,7.30E+03
330382132,5846889,7.30E+03
330382138,5847008,7.50E+03
330382131,5847071,2.80E+03
330382134,5847125,6.00E+02
330382138,5847184,6.40E+03
330382126,5847238,4.50E+03
330382090,5847231,8.40E+03
330382046,5847268,8.40E+03
330381948,5847297,8.20E+03
330381901,5847247,8.70E+03
330381986,5847104,3.10E+03
330382006,5847045,1.90E+03
330382024,5846990,4.60E+03
330382033,5846925,1.10E+03
330382034,5846863,4.30E+03
330382048,5846812,9.00E+02
330382055,5846757,8.20E+03
330382068,5846700,9.30E+03
330382081,5846640,2.20E+03
330382088,5846584,4.50E+03
330382099,5846513,4.80E+03
330382109,5846465,8.20E+03
330382126,5846400,8.70E+03
330382148,5846334,7.40E+03
330382172,5846264,3.20E+03
330382189,5846196,1.40E+03
330382201,5846131,2.40E+03
330382215,5846066,5.70E+03
330382230,5846003,6.00E+03
330382244,5845942,1.00E+04
330382254,5845883,1.20E+04
330382270,5845807,7.30E+03
330382280,5845744,6.20E+03
